model,level,MAPE,sMAPE,MAE,RMSE
Linear Regression,Total,6.7956,7.0316,1514.0357,1951.4305
Linear Regression,Store,7.1215,7.3558,159.5645,203.9148
Linear Regression,Item,8.597,8.8581,37.7678,48.0195
Linear Regression,Store-Item,20.048,19.9112,7.7838,9.6642
LR + Bottom-Up,Total,6.7956,7.0316,1514.0357,1951.4305
LR + Bottom-Up,Store,7.1215,7.3558,159.5645,203.9148
LR + Bottom-Up,Item,8.597,8.8581,37.7678,48.0195
LR + Bottom-Up,Store-Item,20.048,19.9112,7.7838,9.6642
LR + Top-Down,Total,6.7956,7.0316,1514.0357,1951.4305
LR + Top-Down,Store,6.9755,7.2068,155.6783,199.2314
LR + Top-Down,Item,7.7429,7.9728,34.6052,44.2082
LR + Top-Down,Store-Item,15.5008,15.2161,6.1184,7.6319
LR + MinT,Total,6.7956,7.0316,1514.0357,1951.4305
LR + MinT,Store,7.1215,7.3558,159.5645,203.9148
LR + MinT,Item,8.597,8.8581,37.7678,48.0195
LR + MinT,Store-Item,20.048,19.9112,7.7838,9.6642
